code;level;classificationName;
"'07290'";5;"Mining of other non-ferrous metal ores";
"'08'";2;"Other mining and quarrying";
"'081'";3;"Quarrying of stone, sand and clay";
"'0811'";4;"Quarrying of ornamental stone, limestone, gypsum, slate and other stone";
"'08110'";5;"Quarrying of ornamental stone, limestone, gypsum, slate and other stone";
"'0812'";4;"Operation of gravel and sand pits and mining of clay and kaolin";
"'08120'";5;"Operation of gravel and sand pits and mining of clay and kaolin";
"'089'";3;"Mining and quarrying n.e.c.";
"'0891'";4;"Mining of chemical and fertiliser minerals";
"'08910'";5;"Mining of chemical and fertiliser minerals";
"'0892'";4;"Extraction of peat";
"'08920'";5;"Extraction of peat";
"'0893'";4;"Extraction of salt";
"'08930'";5;"Extraction of salt";
"'0899'";4;"Other mining and quarrying n.e.c.";
"'08990'";5;"Other mining and quarrying n.e.c.";
"'09'";2;"Mining support service activities";
"'091'";3;"Support activities for petroleum and natural gas extraction";
"'0910'";4;"Support activities for petroleum and natural gas extraction";
"'09100'";5;"Support activities for petroleum and natural gas extraction";
"'099'";3;"Support activities for other mining and quarrying";
"'0990'";4;"Support activities for other mining and quarrying";
"'09900'";5;"Support activities for other mining and quarrying";
"'C'";1;"Manufacturing";
"'10'";2;"Manufacture of food products";
"'101'";3;"Processing and preserving of meat and production of meat products";
"'1011'";4;"Processing and preserving of meat, except of poultry meat";
"'10110'";5;"Processing and preserving of meat, except of poultry meat";
"'1012'";4;"Processing and preserving of poultry meat";
"'10120'";5;"Processing and preserving of poultry meat";
"'1013'";4;"Production of meat and poultry meat products";
"'10130'";5;"Production of meat and poultry meat products";
"'102'";3;"Processing and preserving of fish, crustaceans and molluscs";
"'1020'";4;"Processing and preserving of fish, crustaceans and molluscs";
"'10200'";5;"Processing and preserving of fish, crustaceans and molluscs";
"'103'";3;"Processing and preserving of fruit and vegetables";
"'1031'";4;"Processing and preserving of potatoes";
"'10310'";5;"Processing and preserving of potatoes";
"'1032'";4;"Manufacture of fruit and vegetable juice";
"'10320'";5;"Manufacture of fruit and vegetable juice";
"'1039'";4;"Other processing and preserving of fruit and vegetables";
"'10390'";5;"Other processing and preserving of fruit and vegetables";
"'104'";3;"Manufacture of vegetable and animal oils and fats";
"'1041'";4;"Manufacture of oils and fats";
"'10410'";5;"Manufacture of oils and fats";
"'1042'";4;"Manufacture of margarine and similar edible fats";
"'10420'";5;"Manufacture of margarine and similar edible fats";
"'105'";3;"Manufacture of dairy products and edible ice";
"'1051'";4;"Manufacture of dairy products";
"'10510'";5;"Manufacture of dairy products";
"'1052'";4;"Manufacture of ice cream and other edible ice";
"'10520'";5;"Manufacture of ice cream and other edible ice";
"'106'";3;"Manufacture of grain mill products, starches and starch products";
"'1061'";4;"Manufacture of grain mill products";
"'10610'";5;"Manufacture of grain mill products";
"'1062'";4;"Manufacture of starches and starch products";
"'10620'";5;"Manufacture of starches and starch products";
"'107'";3;"Manufacture of bakery and farinaceous products";
"'1071'";4;"Manufacture of bread; manufacture of fresh pastry goods and cakes";
"'10710'";5;"Manufacture of bread; manufacture of fresh pastry goods and cakes";
"'1072'";4;"Manufacture of rusks, biscuits, preserved pastries and cakes";
"'10720'";5;"Manufacture of rusks, biscuits, preserved pastries and cakes";
"'1073'";4;"Manufacture of farinaceous products";
"'10730'";5;"Manufacture of farinaceous products";
"'108'";3;"Manufacture of other food products";
"'1081'";4;"Manufacture of sugar";
"'10810'";5;"Manufacture of sugar";
"'1082'";4;"Manufacture of cocoa, chocolate and sugar confectionery";
"'10820'";5;"Manufacture of cocoa, chocolate and sugar confectionery";
"'1083'";4;"Processing of tea and coffee";
"'10830'";5;"Processing of tea and coffee";
"'1084'";4;"Manufacture of condiments and seasonings";
"'10840'";5;"Manufacture of condiments and seasonings";
"'1085'";4;"Manufacture of prepared meals and dishes";
