building_id,region,municipality,street,house_number,postal_code,latitude_wgs84,longitude_wgs84,building_use
100006400W,15,74,Perhontie,601b,69570,63.413376,24.204581,1
100006401X,15,74,Perhontie,1060,69570,63.392642,24.140814,2
100006402Y,15,74,Perhontie,1060,69570,63.393535,24.139203,2
1000064030,15,74,Karvosentie,20,69570,63.407425,24.211192,1
1000064041,15,74,Ahontie,9,69570,63.405377,24.197387,2
1000064052,15,74,Ahontie,9,69570,63.40515,24.196387,2
1000064063,15,74,Ahontie,9,69570,63.405361,24.197028,2
1000064074,15,74,Ahontie,9,69570,63.405575,24.196506,2
1000064085,15,74,Tapiontie,18,69570,63.405639,24.193835,1
1000064096,15,74,Tapiontie,26,69570,63.4048,24.193637,1
1000064107,15,74,Tapiontie,18,69570,63.405319,24.194908,2
1000064118,15,74,,,69570,63.405054,24.193311,2
1000064129,15,74,Tapiontie,18,69570,63.405598,24.1945,2
100006413A,15,74,Tapiontie,18,69570,63.405541,24.194325,2
100006414B,15,74,Ahontie,89,69570,63.412247,24.190063,1
100006415C,15,74,,,69570,63.412519,24.189735,2
100006416D,15,74,,,69570,63.407194,24.197109,1
100006417E,15,74,Tofferintie,33,69570,63.416966,24.197597,2
100006418F,15,74,Perhontie,1060,69570,63.39929,24.134643,1
100006419H,15,74,Perhontie,1060,69570,63.399433,24.13503,1
100006420J,15,74,,,69570,63.399648,24.135449,2
100006421K,15,74,Perhontie,1060,69570,63.401622,24.136274,2
100006422L,15,74,Perhontie,1060,69570,63.399643,24.13611,2
100006423M,15,74,Perhontie,1060,69570,63.399931,24.136142,2
100006424N,15,74,,,69570,63.392609,24.175223,1
100006425P,15,74,Kurkisuontie,83,69570,63.392427,24.176021,1
100006426R,15,74,Perhontie,849,69570,63.395699,24.170292,1
100006427S,15,74,,,69570,63.395648,24.173121,2
100006428T,15,74,Kurkisuontie,4,69570,63.394882,24.172575,1
100006429U,15,74,Kurkisuontie,4,69570,63.394586,24.173045,2
100006430V,15,74,Kurkisuontie,4,69570,63.399084,24.174786,2
100006431W,15,74,Kurkisuontie,4,69570,63.399355,24.17528,1
100006432X,15,74,Kurkisuontie,39,69570,63.396248,24.173943,1
100006433Y,15,74,Perhontie,604,69570,63.413388,24.201975,1
1000064340,15,74,,,69570,63.41347,24.201586,2
1000064351,15,74,Ahontie,9,69570,63.405147,24.198491,1
1000064362,15,74,,,69570,63.405256,24.197639,2
1000064373,15,74,,,69570,63.40566,24.19812,2
1000064384,15,74,,,69570,63.405093,24.197595,2
1000064395,15,74,Karvosentie,10,69570,63.409068,24.206544,1
1000064406,15,74,Karvosentie,,69570,63.40912,24.206459,1
1000064417,15,74,Karvosentie,9,69570,63.410053,24.209153,2
1000064428,15,74,,,0,63.419098,24.217073,1
1000064439,15,74,Karvosentie,31,69570,63.407187,24.207749,1
100006444A,15,74,,,69570,63.407062,24.207761,1
100006445B,15,74,Kurkisuontie,4,69570,63.399336,24.175262,1
100006446C,15,74,Ahontie,68,69570,63.410421,24.194009,1
100006447D,15,74,,,69570,63.411524,24.189833,2
100006448E,15,74,Ahontie,60,69570,63.409722,24.194558,1
100006449F,15,74,Perhontie,618,69570,63.412123,24.204363,1
100006450H,15,74,Ahontie,108,69570,63.41368,24.196235,1
100006451J,15,74,,,69510,63.411215,24.206115,1
100006452K,15,74,Takatie,29,69570,63.409565,24.210864,1
100006453L,15,74,,,69570,63.409696,24.209749,2
100006454M,15,74,,,69570,63.407211,24.20945,1
100006455N,15,74,,,69570,63.40727,24.210145,1
100006456P,15,74,Loukkukoskentie,4,69570,63.389878,24.353298,1
100006457R,15,74,Kuuslammentie,130,69510,63.389445,24.357062,1
100008558H,15,236,Taunonpolku,9,69600,63.551625,23.708457,2
100008589H,15,272,Seikkulantie,33,68230,64.011238,23.519356,1
100016212D,15,74,Katajajärventie,424,69510,63.425877,24.386302,1
100016213E,15,74,,,69550,63.427124,24.404954,1
100016214F,15,74,Ahontie,,69570,63.436725,24.167045,2
100016215H,15,74,Perhontie,638,69570,63.409747,24.205015,1
100016216J,15,74,,,69570,63.416222,24.209134,2
100016217K,15,74,Ahontie,43,69570,63.408282,24.19534,2
100016218L,15,74,,,69570,63.407709,24.194955,2
100016219M,15,74,Karvosentie,1,69570,63.410346,24.20672,1
100016220N,15,74,Karvosentie,1,69570,63.410476,24.206447,2
100016221P,15,74,Tuomaantie,4,69570,63.412343,24.205484,1
100016222R,15,74,,,69570,63.412331,24.205345,2
100016223S,15,74,Tuomaantie,10,69570,63.412456,24.206214,1
100016224T,15,74,Tuomaantie,26,69570,63.411323,24.207086,1
100016225U,15,74,,,69570,63.411181,24.20716,2
100016226V,15,74,,,69570,63.410803,24.207097,2
100016227W,15,74,,,69570,63.41095,24.207263,1
100016228X,15,74,Honkaniementie,80,69510,63.432915,24.175603,1
100016229Y,15,74,,,69510,63.432752,24.175519,2
1000162300,15,74,,,69510,63.432769,24.175477,2
1000162311,15,74,,,69510,63.433518,24.17428,2
1000162322,15,74,Honkaniementie,78,69510,63.432914,24.174621,1
1000162333,15,74,,,69510,63.432978,24.174674,2
1000162344,15,74,Ahontie,172,69570,63.419229,24.191604,1
1000162355,15,74,Ahontie,350,69570,63.432248,24.174125,1
1000162366,15,74,,,69570,63.432346,24.173614,2
1000162377,15,74,,,69570,63.432228,24.172663,1
1000162388,15,74,Ahontie,368,69570,63.432263,24.17306,1
1000162399,15,74,,,69570,63.430675,24.17039,2
100016240A,15,74,,,69570,63.432169,24.17329,2
100016241B,15,74,Kurkisuontie,326,69570,63.379319,24.164479,1
100016242C,15,74,Ahontie,110,69570,63.414171,24.196127,1
100016243D,15,74,Ahontie,110,69570,63.414829,24.195782,1
100016244E,15,74,Ahontie,110,69570,63.414101,24.195733,2
100016245F,15,74,Kurkisuontie,259,69570,63.378589,24.173879,1
100016246H,15,74,Karvosentie,33,69570,63.4068,24.206805,1
100016247J,15,74,,,69570,63.406888,24.207157,2
100016248K,15,74,Tofferintie,36,69570,63.417692,24.200713,1
100016249L,15,74,Tofferintie,34,69570,63.417551,24.199444,1
100016250M,15,74,Tuomaantie,18,69570,63.412007,24.205737,1
100016251N,15,74,,,69570,63.411905,24.206067,2
100016252P,15,74,Tuomaantie,22,69570,63.411672,24.206972,1
100016253R,15,74,Tuomaantie,22,69570,63.41171,24.206668,1
100016254S,15,74,,,69570,63.411899,24.206669,2
100016255T,15,74,,,69570,63.402731,24.195321,1
100016256U,15,74,Perhontie,751,69570,63.402559,24.195679,1
100016257V,15,74,,,69570,63.400748,24.193091,2
100016258W,15,74,,,69570,63.374486,24.157691,1
100016259X,15,74,Kurkisuontie,370,69570,63.380728,24.157193,1
100016260Y,15,74,,,69570,63.38086,24.157521,2
1000162610,15,74,Loukkukoskentie,1,69570,63.407729,24.208798,1
1000162621,15,74,Karvosentie,11,69570,63.407501,24.207698,1
1000162632,15,74,Karvosentie,17,69570,63.408442,24.208549,1
1000162643,15,74,,,69570,63.408532,24.20854,2
1000162654,15,74,Kurkisuo,,69570,63.374466,24.191115,1
1000162665,15,74,Ahontie,18,69570,63.407362,24.205648,1
1000162676,15,74,,,69570,63.407625,24.20993,1
1000162687,15,74,Takatie,46,69570,63.408769,24.216552,1
1000162698,15,74,Takatie,48,69570,63.40884,24.2142,1
1000162709,15,74,Takatie,46,69570,63.407631,24.211152,2
100016271A,15,74,Loukkukoskentie,10,69570,63.406913,24.209338,1
100016272B,15,74,,,69570,63.406559,24.209172,2
100016273C,15,74,Ahontie,64,69570,63.409994,24.194251,1
100016274D,15,74,,,69510,63.51561,24.323636,1
100016275E,15,74,,,69570,63.410397,24.204711,2
100016276F,15,74,Perhontie,620,69570,63.410973,24.204335,1
100016277H,15,74,Perhontie,620,69570,63.418029,24.210141,2
100016278J,15,74,Perhontie,620,69570,63.411142,24.203757,2
100016279K,15,74,Perhontie,620,69570,63.416932,24.207322,2
100016280L,15,74,Perhontie,620,69570,63.410648,24.203304,2
100016281M,15,74,Perhontie,620,69570,63.411187,24.203793,2
100016282N,15,74,Perhontie,620,69570,63.410956,24.204376,1
100016283P,15,74,,,69570,63.342621,24.370218,1
100016284R,15,74,Loukkukoski,,69570,63.342261,24.370211,2
100016286T,15,74,,,69570,63.413693,24.204711,2
100016287U,15,74,Perhontie,593,69570,63.415901,24.203734,1
100016288V,15,74,,,69570,63.416357,24.202227,2
100016289W,15,74,,,69510,63.40721,24.195184,2
100016290X,15,74,,,69570,63.407382,24.196129,2
100016291Y,15,74,Ahontie,29,69570,63.407115,24.196736,1
1000162920,15,74,Tyyrintie,16,69570,63.408617,24.210154,1
1000162931,15,74,Tyyrintie,12,69570,63.40799,24.209755,1
1000162942,15,74,Perhontie,780,69510,63.406545,24.202923,2
1000162953,15,74,Perhontie,1076,69570,63.40012,24.133018,1
1000162964,15,74,Perhontie,1076,69570,63.400111,24.133019,2
1000162975,15,74,Karvosentie,5,69570,63.409699,24.207164,1
1000162986,15,74,,,69570,63.408553,24.206875,1
1000162997,15,74,Karvosentie,18,69570,63.408456,24.206503,1
1000163008,15,74,,,69570,63.408352,24.206674,2
1000163019,15,74,Ahontie,61,69570,63.409829,24.172205,1
100016302A,15,74,Ahontie,63,69570,63.409628,24.192543,1
100016303B,15,74,Perhontie,955,69570,63.399018,24.1538,1
100016304C,15,74,Perhontie,955,69570,63.399059,24.153175,2
100016305D,15,74,,,69570,63.434663,24.144686,1
100016306E,15,74,,,69570,63.434549,24.144817,2
100016307F,15,74,Ahontie,8,69570,63.40558,24.199531,1
100016308H,15,74,Perhontie,743,69570,63.405268,24.19918,1
100016309J,15,74,,,69570,63.405357,24.199132,1
100016310K,15,74,,,69570,63.405187,24.199168,2
100016311L,15,74,,,69570,63.405214,24.199166,1
100016312M,15,74,,,69570,63.405428,24.199085,2
100016313N,15,74,,,69510,63.43467,24.1428,1
100016314P,15,74,Perhontie,811,69570,63.399396,24.182807,1
100016315R,15,74,Perhontie,811,69570,63.398335,24.183673,2
100016316S,15,74,,,69570,63.399327,24.183876,2
100016317T,15,74,Tofferintie,40,69570,63.418054,24.199014,1
100016318U,15,74,Tofferintie,40,69570,63.418237,24.199177,2
100016319V,15,74,Perhontie,591,69570,63.415798,24.207191,1
100016320W,15,74,Siloinen,,69570,63.376775,24.442442,1
100016321X,15,74,Ahontie,59,69570,63.409274,24.193239,1
100016322Y,15,74,,,69570,63.409087,24.193338,2
1000163230,15,74,Kurkisuontie,404,69570,63.38159,24.154966,1
1000163241,15,74,,,69550,63.382191,24.155827,1
1000163252,15,74,Takatie,45,69570,63.408442,24.211754,1
1000163263,15,74,Takatie,45,69570,63.408302,24.211968,1
1000163274,15,74,,,69570,63.408932,24.212909,2
1000163285,15,74,,,69570,63.408958,24.212866,2
1000163296,15,74,Takatie,45,69570,63.408397,24.211759,1
1000163307,15,74,,,69510,63.475633,24.262608,1
1000163318,15,74,,,0,63.46396,24.165915,1
1000163329,15,74,,,69510,63.448943,24.082843,2
100016333A,15,74,Alajoentie,80,69510,63.448533,24.084309,2
100016334B,15,74,Alajoentie,80,69510,63.449038,24.082633,1
100016335C,15,74,,,69510,63.449051,24.081528,2
100016336D,15,74,,,69510,63.450512,24.082703,2
100016337E,15,74,Alajoentie,88,69510,63.44889,24.085517,1
100016338F,15,74,Myllytie,6,69510,63.46468,24.165985,1
100016339H,15,74,Perhontie,10,69510,63.46138,24.169383,1
100016340J,15,74,Ahontie,18,69570,63.406733,24.199218,2
100016341K,15,74,Perhontie,6,69510,63.462283,24.167828,1
100016342L,15,74,,,69510,63.462322,24.167985,2
100016343M,15,74,Perhontie,780,69510,63.46201,24.167654,2
100016344N,15,74,Korkeaniementie,15,69510,63.465797,24.178402,1
100016345P,15,74,,,69510,63.466071,24.179078,2
100016346R,15,74,Korkeaniementie,15,69510,63.465629,24.178078,2
100016347S,15,74,,,69510,63.458637,24.171019,1
100016348T,15,74,,,69510,63.458815,24.171423,1
100016349U,15,74,Perhontie,14,69510,63.460885,24.170235,1
100016350V,15,74,,,69510,63.460612,24.169599,2
100016351W,15,74,,,69510,63.465915,24.164839,2
100016352X,15,74,Köyhäjoentie,12,69510,63.465884,24.164641,1
100016353Y,15,74,,,69510,63.466118,24.164658,2
1000163540,15,74,Perhontie,18,69510,63.460168,24.171229,1
1000163551,15,74,,,69510,63.459501,24.172499,1
1000163562,15,74,,,69510,63.45948,24.172321,2
1000163573,15,74,Köyhäjoentie,13,69510,63.465739,24.163651,1
1000163584,15,74,,,69510,63.465596,24.163244,2
1000163595,15,74,Kaskitie,30,69510,63.464096,24.171403,1
1000163606,15,74,Niittytie,4,69510,63.465443,24.175486,2
1000163617,15,74,Köyhäjoentie,6,69510,63.464727,24.167004,1
1000163628,15,74,Perhontie,24,69510,63.45847,24.171236,1
1000163639,15,74,,,69510,63.45838,24.171205,1
100016364A,15,74,Etelähaarantie,,69510,63.384939,24.406182,2
100016365B,15,74,Etelähaarantie,,69510,63.385182,24.406701,2
100016366C,15,74,,,69510,63.476166,24.197826,1
100016367D,15,74,,,69510,63.478557,24.203899,2
100016368E,15,74,Kalliokoskentie,69,69510,63.476881,24.20593,1
100016369F,15,74,,,69510,63.477342,24.204238,2
100016370H,15,74,Kalliokoskentie,69,69510,63.477016,24.20409,2
100016371J,15,74,Otontie,2,69510,63.465872,24.165847,1
100016372K,15,74,Otontie,2,69510,63.466092,24.166046,2
100025855F,15,74,Perhontie,12,69510,63.461029,24.169839,1
100025856H,15,74,Kirkkotie,11,69510,63.462857,24.166426,1
100025857J,15,74,,,0,63.470627,24.192023,1
100025858K,15,74,Joentaustie,146,69510,63.452778,24.189539,1
100025859L,15,74,Joentaustie,,69510,63.453049,24.189632,2
100025860M,15,74,Köyhäjoentie,2,69510,63.464051,24.167754,1
100025861N,15,74,Kanervatie,2,69510,63.457016,24.175815,1
100025862P,15,74,,,69510,63.44459,24.07504,1
100025863R,15,74,Alitie,13,69510,63.457767,24.174718,1
100025864S,15,74,,,69510,63.457516,24.175224,2
100025865T,15,74,Perhontie,3,69510,63.462754,24.168484,1
100025866U,15,74,Lestijärventie,265,69510,63.472486,24.214031,1
100025867V,15,74,,,69510,63.472664,24.214435,2
100025868W,15,74,Lestijärventie,265,69510,63.472848,24.214638,2
100025869X,15,74,Joentaustie,106,69510,63.456741,24.189651,1
100025870Y,15,74,Joentaustantie,106,69510,63.456454,24.1897,2
1000258710,15,74,Joentaustie,106,69510,63.456939,24.189672,1
1000258721,15,74,,,69510,63.427192,24.324353,1
1000258732,15,74,Kauppisentie,5,69510,63.462597,24.170989,1
1000258743,15,74,Kauppisentie,5,69510,63.462761,24.171555,2
1000258754,15,74,Kauppisentie,7,69510,63.463119,24.172845,1
1000258765,15,74,Lestijärventie,1,69510,63.464032,24.1691,1
1000258776,15,74,,,69510,63.463939,24.169371,2
1000258787,15,74,Otontie,5,69510,63.466603,24.165573,1
1000258798,15,74,Vetelintie,202,69510,63.470406,24.20594,1
1000258809,15,74,Lestijärventie,202,69510,63.470439,24.205796,1
100025881A,15,74,Isosaarentie,191,69510,63.430013,24.072898,1
100025882B,15,74,Kirkkotie,18,69510,63.461305,24.167885,1
100025883C,15,74,Isosaarentie,189,69510,63.430585,24.072298,1
100025884D,15,74,Pa,483,69510,63.431902,24.073908,2
100025885E,15,74,Isosaari Pa,483,69510,63.429883,24.070505,1
100025886F,15,74,Lestijärventie,194,69510,63.46943,24.201939,1
100025887H,15,74,,,69510,63.46955,24.20257,2
100025888J,15,74,Mäntytie,3,69510,63.456887,24.178397,1
100025889K,15,74,,,69510,63.456654,24.17842,2
100025890L,15,74,Köyhäjoentie,1,69510,63.463865,24.166527,1
100025891M,15,74,Kanervatie,3,69510,63.457888,24.17583,1
100025892N,15,74,Kanervatie,5,69510,63.457989,24.176422,1
100025893P,15,74,,,69510,63.457886,24.176633,2
100025894R,15,74,Kanervatie,7,69510,63.45805,24.177681,1
100025895S,15,74,Kanervatie,7,69510,63.45815,24.177289,2
100025896T,15,74,Kanervatie,9,69510,63.457662,24.178502,1
100025897U,15,74,Kanervatie,11,69510,63.457404,24.178607,1
100025898V,15,74,,,69510,63.457211,24.178887,2
100025899W,15,74,Kanervatie,4,69510,63.457853,24.176797,1
100025900X,15,74,Kirkkotie,12,69510,63.462134,24.166658,1
100025901Y,15,74,,,69510,63.463128,24.16925,1
1000259020,15,74,Perhontie,1,69510,63.463115,24.170376,2
1000259031,15,74,Perhontie,1,69510,63.463211,24.170246,1
1000259042,15,74,,,69510,63.463054,24.169117,1
1000259053,15,74,Perhontie,8,69510,63.461639,24.168855,1
1000259064,15,74,,,69510,63.464208,24.166172,1
1000259075,15,74,,,69510,63.464098,24.165621,2
1000259086,15,74,Joentaustie,90,69510,63.45749,24.189397,1
1000259097,15,74,Joentaustie,90,69510,63.457691,24.189538,2
1000259108,15,74,Perhontie,780,69510,63.457646,24.169973,2
1000259119,15,74,Perhontie,7,69510,63.461971,24.169304,1
100025912A,15,74,,,69510,63.462353,24.169548,1
100025913B,15,74,Alitie,11,69510,63.458026,24.174632,1
100025914C,15,74,,,69510,63.458273,24.174427,2
100025915D,15,74,,,69510,63.457918,24.174623,2
100025916E,15,74,,,69510,63.465347,24.164734,1
100025917F,15,74,Kirkkotie,6,69510,63.462982,24.16551,1
100025918H,15,74,Kirkonkylä,,69510,63.463313,24.163631,1
100025919J,15,74,Vetelintie,3,69510,63.463671,24.164438,1
100025920K,15,74,Kirkkotie,20,69510,63.460974,24.168379,1
100025921L,15,74,Kirkkotie,20,69510,63.460693,24.168708,1
100025922M,15,74,Kirkkotie,20,69510,63.460465,24.168108,1
100025923N,15,74,Kirkkotie,20,69510,63.460883,24.167445,1
100025924P,15,74,Perhontie,16,69510,63.459354,24.167756,1
100025925R,15,74,Köyhäjoentie,4,69510,63.464313,24.167828,1
100025926S,15,74,Perhontie,5,69510,63.462473,24.168793,1
100025927T,15,74,Myllytie,2,69510,63.464121,24.164976,1
100025928U,15,74,,,69510,63.464303,24.165099,2
100025929V,15,74,,,69510,63.461508,24.187738,1
100025930W,15,74,Alajoentie,,69510,63.450623,24.085461,2
100025931X,15,74,,,69510,63.450938,24.085489,1
100025932Y,15,74,Korkeaniementie,45,69510,63.467309,24.174479,1
1000259330,15,74,Korkeaniementie,,69510,63.467244,24.173883,2
1000259341,15,74,Lestijärventie,110,69510,63.466722,24.187065,1
1000259352,15,74,Lestijärventie,110,69510,63.466787,24.186718,2
1000259363,15,74,Lestijärventie,110,69510,63.466361,24.18698,2
1000259374,15,74,Korkeaniementie,32,69510,63.466277,24.176327,1
1000259385,15,74,Halsua Kk,,69510,63.466329,24.176222,2
1000259396,15,74,,,69510,63.463282,24.166143,2
1000259407,15,74,Kirkkotie,9,69510,63.463064,24.165984,1
1000259418,15,74,Perhontie,2,69510,63.463414,24.166451,1
1000259429,15,74,,,69510,63.463307,24.16604,2
100025943A,15,74,,,69510,63.468056,24.170469,1
100025944B,15,74,,,69510,63.467877,24.170467,2
100025945C,15,74,,,69510,63.461584,24.184278,2
100025946D,15,74,Joentaustie,36,69510,63.461761,24.18414,1
100025947E,15,74,,,69510,63.461675,24.183867,2
100025948F,15,74,Myllytie,1,69510,63.464426,24.164464,1
100025949H,15,74,Isosaarentie,193,69750,63.430034,24.084446,1
100025950J,15,74,Lestijärventie,295,69510,63.473914,24.220057,1
100025951K,15,74,,,69510,63.473977,24.220051,2
100025952L,15,74,,,69510,63.473824,24.220066,2
100025953M,15,74,Kauppisentie,3,69510,63.462147,24.170471,1
100025954N,15,74,Alitie,4,69510,63.460283,24.176176,1
100025955P,15,74,,,69510,63.460183,24.175624,2
100025956R,15,74,Alitie,7,69510,63.459414,24.17309,1
100025957S,15,74,Kirkkotie,9,69510,63.463177,24.165832,2
100025958T,15,74,Kirkkotie,9,69510,63.460293,24.176636,1
100025960V,15,74,Joentaustie,50,69510,63.459722,24.186448,1
100025961W,15,74,Joentaustie,50,69510,63.459671,24.186092,2
100025962X,15,74,Alitie,9,69510,63.458818,24.172466,1
100025963Y,15,74,,,69510,63.458619,24.186055,1
1000259640,15,74,,,69510,63.458496,24.174325,2
1000259651,15,74,Joentaustie,50,69510,63.459546,24.186144,1
1000259662,15,74,Perhontie,20,69510,63.459423,24.171242,1
1000259673,15,74,Korkeaniementie,47,69510,63.467607,24.174088,1
1000259684,15,74,Korkeaniementie,,69510,63.467787,24.17409,2
1000259695,15,74,Perhontie,13,69510,63.462083,24.172264,1
1000259706,15,74,Kirkkotie,14,69510,63.46175,24.167218,1
1000259717,15,74,Joentaustie,132,69510,63.454553,24.188481,1
1000259728,15,74,Joentaustie,132,69510,63.454714,24.188867,2
1000259739,15,74,Mäntytie,1,69510,63.457012,24.177422,1
100025974A,15,74,Isosaari,,69510,63.436508,24.073398,2
100025975B,15,74,,,69510,63.457202,24.169776,2
100025976C,15,74,Joentaustie,46,69510,63.460203,24.185317,1
100025977D,15,74,Niittytie,4,69510,63.465558,24.174933,2
100025978E,15,74,Niittytie,4,69510,63.465472,24.175122,1
100025979F,15,74,,,69510,63.447433,24.077037,1
100025980H,15,74,Kalliokoskentie,70,69510,63.476723,24.206568,1
100025981J,15,74,Liedeksentie,9,69510,63.506126,24.090156,1
