building_id,region,municipality,street,house_number,postal_code,latitude_wgs84,longitude_wgs84,building_use
100006295H,15,74,Pakolantie,62,69510,63.472739,24.278528,2
100006297K,15,74,Marjusaari,,69510,63.48944,24.313507,2
100006298L,15,74,Kannistontie,945,69510,63.442597,24.260548,1
100006299M,15,74,Perhontie,26,69510,63.454927,24.176423,1
100006300N,15,74,Lestijärventie,623,69510,63.481312,24.280705,1
100006301P,15,74,Lestijärventie,623,69510,63.481342,24.281305,1
100006302R,15,74,Kannistontie,200,69510,63.469902,24.30468,1
100006303S,15,74,Alaveteli,,69550,63.49397,24.331027,1
100006304T,15,74,,,69510,63.504168,24.259051,1
100006305U,15,74,Ravitie,1,69510,63.509866,24.233993,1
100006306V,15,74,Välikankaantie,,69510,63.516216,24.208097,1
100006307W,15,74,Välikankaantie,,69510,63.516032,24.208356,2
100006308X,15,74,,,0,63.521128,24.199329,1
100006309Y,15,74,,,0,63.521171,24.199727,1
1000063100,15,74,,,0,63.526784,24.194166,1
1000063111,15,74,,,69510,63.525828,24.238341,1
1000063122,15,74,,,69510,63.525781,24.238245,2
1000063133,15,74,Isomastokankaantie,90,69510,63.470676,24.32053,1
1000063144,15,74,Isomastokankaantie,90,69510,63.467199,24.33248,2
1000063155,15,74,Kannistontie,,69510,63.478734,24.317787,2
1000063166,15,74,Alaveteli,,69510,63.474345,24.323178,1
1000063177,15,74,Perhontie,319,69510,63.4147,24.273053,1
1000063188,15,74,,,69570,63.416637,24.287098,2
1000063199,15,74,Korventie,5,69510,63.436507,24.260007,1
100006320A,15,74,Korventie,24,69510,63.437148,24.263456,1
100006321B,15,74,Korventie,24,69510,63.436878,24.263442,1
100006322C,15,74,,,69510,63.438319,24.267877,1
100006323D,15,74,Korventie,15,69510,63.437236,24.26056,1
100006324E,15,74,Korventie,16,69510,63.436539,24.261208,1
100006325F,15,74,,,69510,63.436707,24.261051,2
100006326H,15,74,Lestijärventie,671,69510,63.483534,24.289876,1
100006327J,15,74,Pakolantie,62,69510,63.47631,24.28829,1
100006328K,15,74,Pakolantie,62,69510,63.475945,24.287481,2
100006329L,15,74,Pakolantie,62,69510,63.476105,24.286442,2
100006330M,15,74,Kannistontie,566,69510,63.443649,24.339045,1
100006331N,15,74,,,69510,63.443358,24.337869,2
100006332P,15,74,Kannistontie,566,69510,63.443597,24.339632,1
100006333R,15,74,Kannistontie,557,69510,63.444161,24.340041,1
100006334S,15,74,Kannisto,,69510,63.444452,24.339272,2
100006335T,15,74,Kannistontie,558,69510,63.444706,24.338907,1
100006336U,15,74,Kannistontie,175,69510,63.480655,24.292458,1
100006337V,15,74,,,69510,63.519977,24.200166,2
100006338W,15,74,Marjusaari,,69510,63.476755,24.310903,1
100006339X,15,74,Kannistontie,,69510,63.475321,24.29963,1
100006340Y,15,74,Kannistontie,,69510,63.470797,24.303069,2
1000063410,15,74,Kannistontie,595,69510,63.435651,24.342134,1
1000063421,15,74,Kannistontie,586,69510,63.441745,24.336634,1
1000063432,15,74,Kannistontie,586,69510,63.437794,24.338586,2
1000063443,15,74,Kannistontie,381,69510,63.457109,24.327399,1
1000063454,15,74,,,69510,63.457205,24.326787,2
1000063465,15,74,Kannistontie,383,69510,63.456838,24.327785,1
1000063476,15,74,Kannistontie,383,69510,63.458173,24.330972,2
1000063487,15,74,Kannistontie,383,69510,63.45682,24.326823,2
1000063498,15,74,Lestijärventie,615,69510,63.481085,24.280546,1
1000063509,15,74,Kannistontie,1125,69510,63.441352,24.241992,1
100006351A,15,74,Kannistontie,,69510,63.47673,24.295742,1
100006352B,15,74,Kannistontie,90,69510,63.478478,24.293709,1
100006353C,15,74,Kannistontie,90,69510,63.478263,24.293729,2
100006354D,15,74,Marjusaari,,69510,63.483317,24.283669,1
100006355E,15,74,Lestijärventie,645,69510,63.483694,24.282689,1
100006356F,15,74,Kannistontie,59,69510,63.479084,24.290116,1
100006357H,15,74,Kannistontie,63,69510,63.479183,24.290609,1
100006358J,15,74,Kannistontie,59,69510,63.436469,24.261756,1
100006359K,15,74,Marjusaari,,69510,63.479527,24.293127,2
100006360L,15,74,Kannistontie,59,69510,63.44467,24.242235,1
100006361M,15,74,Marjusaari,,69510,63.444669,24.242194,2
100006362N,15,74,Kannistontie,91,69510,63.478723,24.29477,1
100006363P,15,74,,,69510,63.478572,24.295347,2
100006364R,15,74,Kannistontie,123,69510,63.476193,24.298725,1
100006365S,15,74,Kannistontie,90,69510,63.477437,24.298005,2
100006366T,15,74,,,69510,63.440622,24.241421,1
100006367U,15,74,Kannistontie,68,69510,63.478807,24.291127,1
100006368V,15,74,,,69510,63.447224,24.336687,1
100006369W,15,74,Kannistontie,502,69510,63.453323,24.355143,1
100006370X,15,74,,,69510,63.437039,24.338054,1
100006371Y,15,74,Kannisto,,69510,63.438068,24.336394,1
1000063720,15,74,,,69510,63.440047,24.335609,1
1000063731,15,74,Kannistontie,610,69510,63.440939,24.335325,1
1000063742,15,74,Kannistontie,80,69510,63.478555,24.292557,1
1000063753,15,74,Pakolantie,2,69510,63.479368,24.277656,1
1000063764,15,74,Korventie,4,69510,63.43617,24.26024,1
1000063775,15,74,Pakolantie,8,69510,63.478472,24.278686,1
1000063786,15,74,Pakolantie,14,69510,63.478033,24.279711,1
1000063797,15,74,Pakolantie,14,69510,63.478206,24.280278,2
1000063808,15,74,Kannistontie,189,69510,63.470974,24.303876,1
1000063819,15,74,Kannistontie,15,69510,63.479452,24.282509,1
100006382A,15,74,Kannistontie,11,69510,63.479984,24.281695,1
100006383B,15,74,Kannistontie,11,69510,63.47984,24.281669,2
100006384C,15,74,Kannistontie,,69510,63.477847,24.297846,1
100006385D,15,74,Järvinevanlampi,,69510,63.4545,24.248051,1
100006386E,15,74,Kannistontie,,69510,63.454566,24.248246,2
100006387F,15,74,Lestijärventie,605,69510,63.480536,24.278128,1
100006388H,15,74,Kannistontie,530,69510,63.446039,24.339104,1
100006389J,15,74,Kannistontie,189,69510,63.471336,24.303079,1
100006390K,15,74,,,69510,63.477005,24.283706,1
100006391L,15,74,Lestijärventie,,69550,63.484974,24.291467,2
100006392M,15,74,Kannistontie,78,69510,63.479074,24.294335,2
100006393N,15,74,Kannistontie,78,69510,63.479101,24.292465,1
100006394P,15,74,Ahontie,45,69570,63.408278,24.193737,1
100006395R,15,74,Ahontie,67,69570,63.410341,24.191792,1
100006396S,15,74,,,69570,63.410713,24.190153,2
100006397T,15,74,Ahontie,67,69570,63.410588,24.191548,1
100006398U,15,74,Lehtomaantie,235,69510,63.444569,24.107124,2
100006399V,15,74,Perhontie,601a,69570,63.412666,24.20457,1
